name,osm_id,amenity,x,y
,3609573188,bicycle_parking,-122.6550902,45.5293552
,3609583532,bicycle_parking,-122.6551329,45.5293581
,3609583533,bicycle_parking,-122.6550904,45.529475
,3613178314,bicycle_parking,-122.6573655,45.5317135
,3613178315,bicycle_parking,-122.6574854,45.5317447
,3621107693,drinking_water,-122.67563,45.525828
,3621108293,post_box,-122.6756622,45.5260125
,3633741493,post_box,-122.683487,45.529297
,3640031607,bicycle_parking,-122.668182,45.531971
Rose Quarter Parking Garage East (U),3640031608,bicycle_parking,-122.668633,45.533207
Rose Quarter Parking Garage West (U),3640031609,bicycle_parking,-122.668861,45.533203
,3640031610,bicycle_parking,-122.668411,45.532288
,3640041425,bicycle_parking,-122.6575248,45.5349517
,3640041426,bicycle_parking,-122.6589298,45.5349827
,3640041427,bicycle_parking,-122.659058,45.535152
,3640041428,bicycle_parking,-122.6581208,45.5351544
,3640041429,bicycle_parking,-122.658281,45.5351513
,3640045023,bicycle_parking,-122.662689,45.531723
,3640045024,bicycle_parking,-122.661789,45.531891
,3640045025,bicycle_parking,-122.662697,45.531898
,3640045026,bicycle_parking,-122.661781,45.531998
,3640045027,bicycle_parking,-122.662697,45.532082
,3640045028,bicycle_parking,-122.662003,45.532162
,3640045029,bicycle_parking,-122.662277,45.532166
,3640045030,bicycle_parking,-122.662468,45.532166
,3640045031,bicycle_parking,-122.656181,45.534969
,3640045032,bicycle_parking,-122.652855,45.535126
,3640045033,bicycle_parking,-122.653648,45.53513
,3640045034,bicycle_parking,-122.654922,45.535133
,3640045035,bicycle_parking,-122.655304,45.535133
,3640045036,bicycle_parking,-122.65403,45.535141
,3640045037,bicycle_parking,-122.654266,45.535141
,3640045038,bicycle_parking,-122.655854,45.5351442
,3647941404,waste_basket,-122.6813019,45.5257227
,3649406283,bicycle_parking,-122.6674812,45.5307258
,3649464413,bicycle_parking,-122.6533164,45.5347822
,3649464414,bicycle_parking,-122.6534272,45.5348101
,3662460789,parking_entrance,-122.6583804,45.5281668
,3662460797,bicycle_parking,-122.657493,45.5285781
,3662460799,bicycle_parking,-122.6578077,45.5285821
,3662460800,bicycle_parking,-122.6577124,45.5285835
,3662460806,bicycle_parking,-122.6569162,45.5286698
,3662460807,bicycle_parking,-122.6574912,45.5286725
,3662460809,bicycle_parking,-122.65777,45.5286788
,3662460812,waste_basket,-122.6570238,45.5287407
,3662460816,bicycle_parking,-122.6575712,45.5289201
,3662460817,waste_basket,-122.6575573,45.5289444
,3662460818,bench,-122.6575553,45.5289674
,3662460819,bicycle_parking,-122.6575712,45.5290703
,3662461927,post_box,-122.6577677,45.5292712
,3662461928,post_box,-122.6577895,45.5292712
,3662461929,bicycle_parking,-122.6563562,45.5293314
,3662461931,bicycle_parking,-122.6563969,45.5293696
,3662461945,parking_entrance,-122.6544282,45.529639
,3662461953,waste_basket,-122.6575729,45.529933
,3662461954,waste_basket,-122.6576739,45.5299364
,3662461959,post_box,-122.6528627,45.529955
,3662461960,post_box,-122.6528788,45.529955
,3662461966,waste_basket,-122.6530002,45.530409
,3662461967,bench,-122.6531154,45.5304868
,3663748951,atm,-122.6569993,45.5226494
Biwa,3664761404,restaurant,-122.6568445,45.5213671
,3665499784,bicycle_parking,-122.6597266,45.5287465
,3665499785,bicycle_parking,-122.6597514,45.5287472
,3665499787,bicycle_parking,-122.6597524,45.528791
,3665499788,bicycle_parking,-122.6597514,45.528896
,3665499789,bicycle_parking,-122.659815,45.5291179
,3665499792,bicycle_parking,-122.6591174,45.5295451
,3665499797,bicycle_parking,-122.6594093,45.5296169
,3672891948,bicycle_parking,-122.6587084,45.5299178
,3672891949,drinking_water,-122.6567819,45.5299646
,3672891950,bicycle_parking,-122.6590057,45.5299794
,3672891951,waste_basket,-122.6563567,45.5301181
,3672891952,drinking_water,-122.6563764,45.5301181
,3672891953,drinking_water,-122.6588285,45.5301311
,3678295138,waste_basket,-122.6752144,45.5232037
,3678295143,recycling,-122.6754812,45.5232515
,3678295144,waste_basket,-122.6754992,45.523252
,3678295145,waste_basket,-122.6753599,45.5232538
,3678295146,recycling,-122.6753599,45.5232667
,3678295147,bicycle_parking,-122.6754956,45.5232723
,3678295152,bicycle_parking,-122.6745043,45.523388
,3678295161,bicycle_parking,-122.6763825,45.5236006
,3678295164,bicycle_parking,-122.6745116,45.5236314
,3678295167,recycling,-122.6764075,45.5236511
,3678295168,waste_basket,-122.676381,45.5236532
,3678295172,recycling,-122.6753843,45.5236809
,3678295173,waste_basket,-122.6745156,45.5236915
,3678295174,waste_basket,-122.6753875,45.5236955
,3678295176,recycling,-122.6754853,45.5237035
,3678295179,bicycle_parking,-122.6745159,45.5237138
,3678295182,bicycle_parking,-122.6766134,45.5237377
,3678295183,bicycle_parking,-122.6757979,45.523743
,3678295184,bicycle_parking,-122.67563,45.5237502
,3678295185,bicycle_parking,-122.6755711,45.5237575
,3678295186,bicycle_parking,-122.6758492,45.5238443
,3678295187,recycling,-122.6755914,45.5238474
,3678295189,recycling,-122.6753925,45.5239167
,3678295191,bicycle_parking,-122.6753872,45.5240174
,3678295194,bench,-122.6753883,45.5240852
,3678295195,bicycle_parking,-122.6753891,45.5241406
,3678295196,bicycle_parking,-122.6753897,45.5241756
,3678295199,bicycle_parking,-122.6753906,45.5242333
,3678295201,bench,-122.6753916,45.5242968
,3678295202,recycling,-122.6755311,45.5243641
,3678295203,waste_basket,-122.6755314,45.524376
,3678295204,bicycle_parking,-122.6753931,45.5243951
,3678295205,waste_basket,-122.6753933,45.5244069
,3678295206,drinking_water,-122.6755322,45.524409
,3678295207,recycling,-122.6753934,45.5244172
,3678295210,bicycle_parking,-122.6759224,45.5244539
,3678295211,bicycle_parking,-122.6756194,45.5244663
,3679295851,post_box,-122.6810355,45.5233341
,3679295857,bicycle_parking,-122.6810573,45.5235127
,3679295860,bicycle_parking,-122.6802003,45.5235846
,3679295861,bicycle_parking,-122.680889,45.523642
,3679295862,bicycle_parking,-122.6809816,45.523642
,3679295864,bicycle_parking,-122.6799826,45.5237729
,3681395007,waste_basket,-122.682055,45.5231007
,3681395008,bicycle_parking,-122.68207,45.5235257
,3681395010,bicycle_parking,-122.6815198,45.5236307
,3682785822,recycling,-122.6823774,45.5230522
,3682785823,waste_basket,-122.6823672,45.5230524
,3682785824,bicycle_parking,-122.6825564,45.5230602
,3682791227,bicycle_parking,-122.6824293,45.5230685
,3682791228,bicycle_parking,-122.6824589,45.5230696
,3682791240,bench,-122.6830975,45.5235603
,3682791243,bicycle_parking,-122.682461,45.5236199
,3682791244,bench,-122.682305,45.5236238
,3682791245,recycling,-122.6830334,45.5236255
,3683239566,bicycle_parking,-122.6835363,45.5230335
,3683239567,waste_basket,-122.6834394,45.5230343
,3683239568,recycling,-122.6834522,45.5230352
,3683239572,waste_basket,-122.6832105,45.5230667
,3683239573,recycling,-122.6832233,45.5230676
,3683239577,bicycle_parking,-122.6832629,45.5231279
,3683239580,bench,-122.684091,45.5233039
,3683239581,bicycle_parking,-122.6832215,45.5235219
,3683239582,bench,-122.6832222,45.5235336
,3683239583,bicycle_parking,-122.683901,45.5235942
,3683239584,bench,-122.6840272,45.5235958
,3683239585,bicycle_parking,-122.6837957,45.523598
,3683239586,waste_basket,-122.683388,45.5236239
,3683239587,bench,-122.6833635,45.5236227
,3683239588,recycling,-122.6834023,45.5236237
,3683239589,bicycle_parking,-122.6833363,45.5236273
,3683239590,bench,-122.6840321,45.5236929
,3683254810,bicycle_parking,-122.6806779,45.5220206
,3683254819,bench,-122.6809955,45.5221983
,3684328748,recycling,-122.676643,45.5206817
,3684328749,waste_basket,-122.6766356,45.5207006
,3694689545,bicycle_parking,-122.6863525,45.5211936
,3697333677,bicycle_parking,-122.6868498,45.5356179
,3697333678,bicycle_parking,-122.6868785,45.5356179
,3697333679,bicycle_parking,-122.6869073,45.535618
,3697333680,bicycle_parking,-122.686936,45.5356181
,3697333681,bicycle_parking,-122.6869648,45.5356182
,3697333682,bicycle_parking,-122.6869935,45.5356183
,3697333683,bicycle_parking,-122.6870223,45.5356183
,3697333684,bicycle_parking,-122.687051,45.5356184
,3697333685,bicycle_parking,-122.6872191,45.5356189
,3697333686,bicycle_parking,-122.687078,45.5356238
,3697333688,bicycle_parking,-122.6868105,45.5356303
,3697333694,bicycle_parking,-122.6868775,45.5357567
,3697333703,bicycle_parking,-122.6869155,45.5358072
,3697673627,bicycle_parking,-122.6848955,45.5265357
,3697673630,waste_basket,-122.6853924,45.5265895
,3697673631,bicycle_parking,-122.6843541,45.5266285
Tower Plastics,3697905247,doctors,-122.683705,45.526627
,3697905248,waste_basket,-122.6840638,45.5265448
,3697905251,bicycle_parking,-122.6835636,45.5265617
,3697905252,bicycle_parking,-122.6837344,45.5265629
,3697905261,bicycle_parking,-122.6833808,45.5268795
,3697905269,bicycle_parking,-122.6833739,45.5269798
,3697905274,bicycle_parking,-122.6833755,45.5271186
,3699480898,bicycle_parking,-122.6801494,45.5219719
,3699480900,bicycle_parking,-122.6809125,45.5220362
,3699480901,bicycle_parking,-122.6813001,45.5220469
,3699480903,bicycle_parking,-122.6813297,45.5221516
,3699480904,bicycle_parking,-122.6801556,45.5221521
,3699480905,bicycle_parking,-122.6811735,45.5222403
,3699480908,bicycle_parking,-122.680161,45.522312
,3699480912,bicycle_parking,-122.6824158,45.522442
,3699480914,bicycle_parking,-122.6825741,45.5224873
,3699480916,bicycle_parking,-122.6826615,45.5225092
,3699480920,bicycle_parking,-122.682199,45.5225464
,3699480924,bicycle_parking,-122.6829164,45.5225734
,3699482936,bicycle_parking,-122.6809543,45.5227
,3699482937,bicycle_parking,-122.6805823,45.5227016
,3699482946,bicycle_parking,-122.6830646,45.5227302
,3699482947,bicycle_parking,-122.6820501,45.5227515
,3699482952,bicycle_parking,-122.6809173,45.5228038
,3699482953,bicycle_parking,-122.6820532,45.5228214
,3699482957,bicycle_parking,-122.6816362,45.5228769
,3699482958,bicycle_parking,-122.6817365,45.5229003
Thai Champa,3703591472,fast_food,-122.6561081,45.5226127
Mirakutei,3703627827,restaurant,-122.6600122,45.5228027
Sonbeam Day Care,3708621735,childcare,-122.6591332,45.532686
,3710122305,bicycle_parking,-122.6798075,45.5225105
,3710122311,bicycle_parking,-122.6791861,45.5234641
,3710122317,bicycle_parking,-122.6791917,45.5235663
,3710122320,bicycle_parking,-122.6794583,45.5236752
,3710122321,bicycle_parking,-122.6793715,45.5236763
,3710122322,bicycle_parking,-122.6792877,45.5236773
,3711263742,bicycle_parking,-122.6848308,45.5212541
,3711263756,bicycle_parking,-122.6846195,45.5216455
,3711263758,bicycle_parking,-122.6845887,45.5217116
Garden Bar,3719066674,restaurant,-122.6573736,45.5306095
Rue,3721614784,restaurant,-122.6554762,45.5223205
,3731335548,bicycle_parking,-122.6837493,45.5215247
,3731335550,bicycle_parking,-122.6836777,45.5216492
,3731335551,bicycle_parking,-122.6848088,45.5217076
,3731335554,bicycle_parking,-122.6847837,45.5217538
,3731335555,atm,-122.6833085,45.5217621
,3731335557,bicycle_parking,-122.6845605,45.5217696
,3731335562,bicycle_parking,-122.6837919,45.5219291
,3731335566,bicycle_parking,-122.6846546,45.522006
,3731335568,bicycle_parking,-122.6846266,45.5220701
,3731335569,bicycle_parking,-122.6842758,45.522158
,3731377752,waste_basket,-122.6822537,45.5216993
,3731377753,bicycle_parking,-122.6824594,45.5217531
,3731377754,bicycle_parking,-122.6826947,45.5217555
,3731377755,bicycle_parking,-122.6824085,45.5218359
,3731377756,bicycle_parking,-122.6830009,45.5218366
,3731377758,bicycle_parking,-122.6823184,45.5220046
,3731377761,bicycle_parking,-122.68202,45.5221332
,3731377768,bicycle_parking,-122.6833327,45.5223027
,3731377773,bicycle_parking,-122.6830446,45.5224015
PMC,3732066584,parking_entrance,-122.6812871,45.5204752
,3732066624,bicycle_parking,-122.6805666,45.5202968
,3732067226,bicycle_parking,-122.6810414,45.5204337
,3732067227,bicycle_parking,-122.6817385,45.5205
,3732122216,bicycle_parking,-122.6804703,45.5203926
,3732122217,bicycle_parking,-122.6802244,45.5204037
,3732122221,waste_basket,-122.6806781,45.5205046
,3732124925,bicycle_parking,-122.6800801,45.5206491
,3732124928,bicycle_parking,-122.6805761,45.5206922
,3732124934,bicycle_parking,-122.6805087,45.5208136
,3732124936,bicycle_parking,-122.6800218,45.520919
,3732124939,bicycle_parking,-122.6803222,45.5210081
,3732124940,post_box,-122.6803375,45.5210111
White Owl West,3732415310,bar,-122.6809275,45.521766
,3732415312,waste_basket,-122.6803078,45.5211116
,3732415315,bicycle_parking,-122.6806078,45.5211971
,3732415317,bicycle_parking,-122.6806789,45.5212156
,3732415319,bicycle_parking,-122.680416,45.5212232
,3732415323,bicycle_parking,-122.6809167,45.5212799
,3732415325,bicycle_parking,-122.6803817,45.5212959
,3732415331,bicycle_parking,-122.6803482,45.5213552
,3732415337,waste_basket,-122.6812204,45.5214416
,3732415339,bicycle_parking,-122.6802827,45.5214721
,3732415346,bicycle_parking,-122.6802109,45.521599
,3732415349,bicycle_parking,-122.6801862,45.5216516
,3732415350,bicycle_parking,-122.6811045,45.5216525
,3732415353,waste_basket,-122.6811157,45.5216846
,3732415357,bicycle_parking,-122.6802948,45.5217495
,3732415361,bicycle_parking,-122.6804625,45.521796
,3732415363,bicycle_parking,-122.6806849,45.5218545
,3732415364,bicycle_parking,-122.6809841,45.5218882
,3732415365,bicycle_parking,-122.6808779,45.5219091
,3734911736,waste_basket,-122.6787718,45.5213453
,3734911738,waste_basket,-122.6786877,45.5214351
,3734911739,waste_basket,-122.6795286,45.5214605
,3734911746,bicycle_parking,-122.6785314,45.5216347
,3734911748,bicycle_parking,-122.6793387,45.5217048
,3734911752,atm,-122.6780985,45.5218106
,3734911762,waste_basket,-122.6782659,45.5221322
,3734911763,bicycle_parking,-122.6784433,45.5221459
,3734911765,bicycle_parking,-122.6800087,45.5221739
,3734911769,bicycle_parking,-122.67878,45.5222323
,3734911770,bicycle_parking,-122.6800064,45.5222624
,3734911772,bicycle_parking,-122.6781847,45.5222691
,3734911774,bicycle_parking,-122.678989,45.5222902
,3734911778,bicycle_parking,-122.6780942,45.5224386
,3734911790,bicycle_parking,-122.6783777,45.5226843
,3734911796,bicycle_parking,-122.6783713,45.5227915
,3734911803,bicycle_parking,-122.677685,45.522843
,3734911804,waste_basket,-122.6776669,45.5228616
,3734911805,bicycle_parking,-122.677877,45.5229248
,3736820733,waste_basket,-122.6722483,45.5239165
,3736820736,waste_basket,-122.6711834,45.5239209
,3736820738,waste_basket,-122.6716462,45.5239275
,3736820741,bicycle_parking,-122.6714889,45.5241349
,3736820742,bicycle_parking,-122.6714889,45.5241896
,3736820750,atm,-122.6723089,45.5244814
,3736869627,bicycle_parking,-122.6804751,45.5309443
Pearl Health Center,3736917433,doctors,-122.6804914,45.5285839
Red E Café,3736917434,cafe,-122.6805908,45.5283521
,3736917439,waste_basket,-122.6822406,45.5280071
,3736917453,bicycle_parking,-122.6807821,45.5280431
,3736917454,bicycle_parking,-122.6804629,45.5280481
,3736917511,bicycle_parking,-122.6812354,45.5282698
,3736917512,bicycle_parking,-122.6803737,45.5283167
,3736917513,bench,-122.681147,45.5283197
